Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3
"Bleach","Action / Supernatural","Manga",366,"Fini","Studio Pierrot","2004-10-05",7.9,9.7,"Ep 366 (TYBW Ep 6): The Fire","Yamamoto en action (Arc Guerre Sanglante). Visuellement fou.",4.8,"Ep 70: Bount Arc (Filler)","Début de l'arc filler des Bounts, universellement détesté.","Arc Soul Society : Sauvetage de Rukia (Un classique).","Arc Arrancar : Introduction des Espada et du Hueco Mundo.","Arc Guerre Sanglante (2022) : Retour violent et magnifique."
"Parasite: La Maxime","Sci-Fi / Horror","Manga",24,"Fini","Madhouse","2014-10-09",8.3,9.3,"Ep 12: Coeur","Migi défend Shinichi, mort de Kana. Bascule psychologique.",7.6,"Ep 1: Métamorphose","Introduction un peu étrange, le design 'années 80' modernisé surprend.","Invasion silencieuse, Shinichi apprend à vivre avec Migi.","Conflit avec les parasites organisés et Reiko Tamura.","Bataille finale et réflexions écologiques sur l'humanité."
"Demon Slayer","Action / Historical","Manga",55,"En cours","Ufotable","2019-04-06",8.5,9.9,"Ep 19: Le Dieu du feu","Hinokami Kagura. L'épisode qui a cassé Internet.",7.1,"Ep 14: La maison aux blasons","Zenitsu et Inosuke sont bruyants, humour qui divise.","Formation de Tanjiro et sélection finale.","Rencontre avec Zenitsu/Inosuke et Montagne Natagumo.","Arc du Quartier des Plaisirs (S2) : Combat titanesque contre Daki/Gyutaro."
"Erased","Mystery / Supernatural","Manga",12,"Fini","A-1 Pictures","2016-01-08",8.3,9.4,"Ep 8: Spiral","Le suspense est à son comble, Satoru proche de la vérité.",6.8,"Ep 12: Treasure","Fin précipitée et différente du manga, décevante pour beaucoup.","Enquête dans le passé pour sauver Kayo Hinazuki.","Le tueur se rapproche, tension insoutenable.","Confrontation finale dans le présent (rythme accéléré)."
"Tokyo Ghoul","Horror / Action","Manga",48,"Fini","Studio Pierrot","2014-07-04",7.5,9.6,"Ep 12: Ghoul","Torture de Kaneki et cheveux blancs. 'Unravel' en fond.",5.2,"Ep 24: Root A Finale","Fin de la S2 (Root A) incompréhensible et hors-sujet vs Manga.","Découverte du monde des goules, horreur et faim.","Saison Root A : Scénario original qui s'éloigne du manga (décevant).","Tokyo Ghoul:re : Ellipse temporelle, trop de personnages, confus."
"Mushishi","Slice of Life / Supernatural","Manga",26,"Fini","Artland","2005-10-23",8.7,9.4,"Ep 12: One-Eyed Fish","Histoire poétique et mélancolique typique de la série.",8.0,"Ep 5: The Traveling Swamp","Pas de mauvais épisode, juste des histoires moins marquantes.","Voyage de Ginko, histoires épisodiques apaisantes.","Exploration de la nature invisible (Mushi) et de l'humain.","Pas de fil rouge fort, mais une ambiance unique et constante."
"JoJo's Bizarre Adventure","Action / Supernatural","Manga",26,"Fini","David Production","2012-10-06",8.0,9.1,"Ep 20: Caesar's Youth","Le combat et le sacrifice de Caesar. 'SHIZAAAA!'",6.9,"Ep 10: New York's JoJo","Début de la partie 2, transition de style surprenante.","Partie 1 (Phantom Blood) : Jonathan vs Dio, gothique et classique.","Partie 2 (Battle Tendency) : Joseph Joestar, tactique et humour.","Introduction des 'Stands' (Partie 3 - Stardust Crusaders)."
"Jujutsu Kaisen","Action / Supernatural","Manga",47,"En cours","MAPPA","2020-10-03",8.6,9.8,"Ep 41 (S2): Thunderclap","Sukuna détruit Shibuya. Animation apocalyptique.",7.5,"Ep 22: The Origin of Blind Obedience","Un peu de remplissage avant le final de la S1.","Introduction de Yuji et des fléaux, école d'exorcisme.","Tournoi inter-lycées et montée en puissance.","Arc de Shibuya (S2) : Tragédie, combats et pertes majeures."
"Boruto: Naruto Next Generations","Action / Shonen","Manga",293,"En pause","Studio Pierrot","2017-04-05",6.0,9.9,"Ep 218: Partenaire","La perte de Kurama. Fin d'une ère et émotion pure.",4.3,"Ep 67: Super Cho-Cho Butterfly Mode!","Arc insupportable et gênant centré sur la romance de Cho-Cho.","Démarrage lent, souffre de la comparaison avec Naruto.","Enorme quantité de fillers (Anime Canon) souvent médiocres.","Les moments clés (Momoshiki/Isshiki) sont de très haut niveau."
"Frieren: Beyond Journey's End","Adventure / Fantasy","Manga",28,"En cours","Madhouse","2023-09-29",9.3,9.4,"Ep 10: Frieren the Slayer","Démonstration de puissance calme et terrifiante.",7.3,"Ep 22: Future Enemies","Rythme un peu plus lent, transition vers l'examen de mage.","Voyage mélancolique sur le temps qui passe et le deuil.","Production Madhouse sublime, ambiance 'comfy' et contemplative.","Les relations subtiles (Frieren/Fern/Stark) sont le coeur du récit."
"Hell's Paradise","Action / Dark Fantasy","Manga",13,"En cours","MAPPA","2023-04-01",7.7,8.3,"Ep 13: Dreams and Reality","Fin de saison satisfaisante, révélations et promesse de chaos.",7.1,"Ep 11: Weak and Strong","Rythme cassé par des flashbacks, action en retrait.","Mélange unique de beauté florale et d'horreur pure.","Gabimaru : un protagoniste tueur mais profondément humain.","Univers mystérieux et système de pouvoir (Tao) intrigant."
"My Hero Academia: Vigilantes","Action / Super Power","Manga",13,"En cours","Bones","2025-04-07",7.6,8.6,"Ep 12: Papa ni Sayonara","Moment émotionnel culminant de l'arc Sky Egg.",7.3,"Ep 8: Major","Episode de mi-saison un peu plus faible en tension.","Un spin-off plus sombre et grounded que la série principale.","Exploration des bas-fonds et du passé d'Aizawa très appréciée.","Koichi est un protagoniste 'outsider' très attachant."
"Claymore","Action / Dark Fantasy","Manga",26,"Fini","Madhouse","2007-04-03",7.7,8.4,"Ep 8: Awakening","Le moment pivot. L'éveil de la conscience de Clare.",7.6,"Ep 26: For Whose Sake","Fin originale de l'anime qui diverge du manga (très critiquée).","Ambiance Dark Fantasy lourde et mature, combats sanglants.","Teresa of the Faint Smile : un des meilleurs personnages féminins.","L'anime ne couvre qu'une partie de l'histoire (Lire le manga !)."
"Claymore","Action / Dark Fantasy","Manga",26,"Fini","Madhouse","2007-04-03",7.7,8.4,"Ep 8: Awakening","Le moment pivot. L'éveil de la conscience de Clare.",7.6,"Ep 26: For Whose Sake","Fin originale de l'anime qui diverge du manga (très critiquée).","Ambiance Dark Fantasy lourde et mature, combats sanglants.","Teresa of the Faint Smile : un des meilleurs personnages féminins.","L'anime ne couvre qu'une partie de l'histoire (Lire le manga !)."
"L'Attaque des Titans","Action / Mystery","Manga",89,"Fini","Wit Studio / MAPPA","2013-04-07",8.5,9.9,"Ep 54: Héros (Hero)","Note quasi parfaite. Le sacrifice d'Armin et le discours d'Erwin.",6.8,"Ep 14: On ne peut rien y faire (Recap)","Un résumé avant le tribunal, casse le rythme de la S1.","La chute du mur et la peur primale des Titans.","Le complot politique et la révélation du Titan Cuirassé.","Le retour à Shiganshina et la découverte de la cave (Vérité)."
"One Outs","Sport / Psychological","Manga",25,"Fini","Madhouse","2008-10-08",8.3,8.5,"Ep 7: Trick & Trap","L'art de la manipulation psychologique à son paroxysme.",7.2,"Ep 16: Trick Stadium","Un peu en dessous, mais reste très solide.","Tokuchi Toua est un génie du mal fascinant.","Duel psychologique intense, pas juste du baseball.","Pas de vraie fin (lire le manga), mais le voyage est incroyable."
"Zetsuen No Tempest","Mystery / Fantasy","Manga",24,"Fini","Bones","2012-10-05",7.9,8.5,"Ep 1: The Mage in the Barrel","Une introduction mystérieuse et accrocheuse.",7.4,"Ep 13: Tone Shift","Transition de milieu de saison qui divise les fans.","Dialogue shakespearien et citations de Hamlet/The Tempest.","Yoshino et Mahiro : un duo de protagonistes complexe.","La deuxième partie est plus lente et différente de la première."
"Your Lie in April","Drama / Music","Manga",22,"Fini","A-1 Pictures","2014-10-09",8.6,9.5,"Ep 22: Spring Breeze","La lettre de Kaori. Préparez les mouchoirs.",8.4,"Ep 1: Monotone/Colorful","Début un peu lent pour certains, mais visuellement beau.","Une oeuvre magnifique sur le traumatisme et la guérison.","La musique classique est un personnage à part entière.","Kaori Miyazono : une flamme qui brûle vite et fort."
"Monster","Thriller / Mystery","Manga",74,"Fini","Madhouse","2004-04-07",8.9,9.1,"Ep 4: Night of Punishment","Tension insoutenable et écriture magistrale.",7.4,"Ep 8: The Fugitive","Rythme plus lent, mise en place des pièces.","Johan Liebert est le meilleur méchant de l'histoire.","Un thriller psychologique lent mais incroyablement récompensant.","Pas de pouvoirs, juste la noirceur de l'âme humaine."
"Hajime no Ippo","Sport / Boxing","Manga",76,"Fini","Madhouse","2000-10-04",8.8,9.2,"Ep 75: The First Step","Conclusion de la saison 1. Ippo devient champion.",7.5,"Ep 30: Motivation","Quelques longueurs, mais nécessaire pour le développement.","Le meilleur anime de sport pour ressentir les impacts.","Takamura est hilarant et terrifiant à la fois.","Dempsey Roll ! Les bruitages de jet engine sont iconiques."
"Kenshin le Vagabond","Action / Historical","Manga",95,"Fini","Studio Gallop / Deen","1996-01-10",8.3,9.0,"Ep 30: Revenge","Le combat contre Saito à Kyoto. Sommet de la série.",6.2,"Ep 80: Feng Shui Arc","Filler de la saison 3, animation et scénario médiocres.","Arc Kyoto (S2) : Le Shonen à son apogée (Shishio Makoto).","Saison 3 (Fillers) à éviter, la qualité chute drastiquement.","Kenshin Himura : le vagabond pacifiste au passé sanglant."
"Yū Yū Hakusho","Action / Supernatural","Manga",112,"Fini","Studio Pierrot","1992-10-10",8.5,9.1,"Ep 58: Grim Determination","Hiei utilise le Dragon of the Darkness Flame. Culte.",7.3,"Ep 112: Forever!","Fin un peu abrupte mais nostalgique.","Tournoi des Ténèbres : Le standard or des tournois en anime.","Les 4 protagonistes ont une alchimie parfaite.","Yusuke Urameshi est un délinquant au grand coeur."
"Demon Slayer: Kimetsu no Yaiba","Action / Supernatural","Manga",55,"En cours","Ufotable","2019-04-06",8.5,9.9,"Ep 2x17: I Will Never Give Up","Combat d'une intensité visuelle inégalée (Tengen vs Gyutaro).",7.3,"Ep 11: Tsuzumi Mansion","Arc un peu plus lent avant le Mont Natagumo.","Animation révolutionnaire qui a rédefini les standards TV.","Phénomène culturel mondial (Mugen Train et records au box-office).","Personnages attachants (Tanjiro) et bestiaire marquant."
"The Eminence in Shadow","Action / Isekai","Light Novel",32,"En cours","Nexus","2022-10-05",8.2,9.0,"Ep 20: Advent of the Demon","I AM ATOMIC. Le summum du 'Chunibyo' stylé.",7.4,"Ep 10: The Sacred Land","Un peu d'exposition nécessaire mais moins d'action.","Parodie brillante des tropes Isekai 'Edgy'.","Cid Kagenou est un protagoniste hilarant dans son incompréhension.","Mélange parfait d'humour absurde et d'action sérieuse."
"Black Clover","Action / Fantasy","Manga",170,"En pause","Studio Pierrot","2017-10-03",8.1,9.7,"Ep 167: Black Oath","Le combat contre Dante. Animation Pierrot à son apogée.",2.7,"Ep 82: Clover Clips Special","Episode résumé (Recap) unanimement détesté. (Autre point faible cité : Ep 29: Path).","Débuts difficiles avec une animation parfois instable.","Un Shonen classique qui devient incroyablement solide avec le temps.","Asta crie beaucoup au début, mais son évolution est satisfaisante."
"The Promised Neverland","Mystery / Horror","Manga",23,"Fini","CloverWorks","2019-01-11",8.5,9.8,"Ep 12: 150146","L'évasion. Une conclusion parfaite pour la Saison 1.",5.3,"Ep 2x11: The Final","Saison 2 catastrophique (diaporama final), insulte au manga.","Saison 1 : Un chef d'oeuvre de tension et de stratégie.","Saison 2 : Rush narratif incompréhensible, arc Goldy Pond sauté.",""
"Chainsaw Man","Action / Horror","Manga",12,"En cours","MAPPA","2022-10-12",8.4,8.7,"Ep 8: GUNFIRE","Le tournant brutal de la série. Mise en scène cinématographique.",7.7,"Ep 2: ARRIVAL IN TOKYO","Introduction des personnages, rythme un peu plus posé.","Une direction artistique 'cinéma' unique, loin des standards anime.","Denji : un héros aux motivations simples mais réalistes.",""
"Vinland Saga","Adventure / Drama","Manga",48,"En cours","Wit Studio / MAPPA","2019-07-08",8.8,8.9,"Ep 2x22: Emperor of Rebellion","'I have no enemies'. L'aboutissement du pacifisme de Thorfinn.",7.4,"Ep 13: Child of a Hero","Transition un peu plus faible au milieu de la S1.","Changement radical de ton entre S1 (Guerre) et S2 (Fermier).","Une des meilleures évolutions de personnage (Thorfinn).",""
"Fairy Tail","Adventure / Magic","Manga",328,"En cours","A-1 Pictures","2009-10-12",7.6,9.7,"Ep 175: Natsu vs. Twin Dragons","Sommet du tournoi et de la 'Hype' Fairy Tail.",7.3,"Ep 69: Call of the Dragon","Arc Daphne (Filler) souvent cité comme le point faible.","Le pouvoir de l'amitié (Nakama Power) poussé à l'extrême.","Bande son celtique rock légendaire de Yasuharu Takanashi.",""
"Mashle: Magic and Muscles","Comedy / Action","Manga",24,"En cours","A-1 Pictures","2023-04-08",7.6,8.4,"Ep 17: Finn Ames and the Friend","Moment de bravoure inattendu pour Finn.",7.5,"Ep 5: The Unpopular Classmate","Humour répétitif qui peut lasser certains spectateurs.","Parodie assumée de Harry Potter avec un One Punch Man.","Les Opening sont des phénomènes viraux (Bling-Bang-Bang-Born).",""
"SPY×FAMILY","Comedy / Slice of Life","Manga",37,"En cours","Wit / CloverWorks","2022-04-09",8.4,9.1,"Ep 2: Secure a Wife","L'introduction de Yor. Mélange parfait d'action et comédie.",7.8,"Ep 17: Carry Out the Griffon Plan","Episode plus léger 'Slice of Life', moins d'enjeux.","La dynamique familiale Forger est le coeur de la série.","Anya est une icône de la culture anime moderne.",""
"Dan Da Dan","Action / Supernatural","Manga",12,"En cours","Science SARU","2024-10-04",8.4,9.7,"Ep 7: Acrobatic Silky","Une histoire tragique et émouvante derrière le monstre.",7.9,"Ep 12: Let's Go to the Cursed House","Fin de saison un peu abrupte pour certains.","Animation déjantée et créative typique de Science SARU.","Mélange unique d'occulte, d'aliens et de romance adolescente.",""
"Made in Abyss","Adventure / Mystery","Manga",25,"En cours","Kinema Citrus","2017-07-07",8.6,9.6,"Ep 13: The Challengers","Un épisode final d'une beauté et d'une cruauté absolues.",7.5,"Ep 6: Incinerator","Episode d'entraînement, nécessaire mais moins captivant.","Contraste brutal entre le design 'Chibi' et l'horreur du scénario.","Un voyage sans retour vers les profondeurs traumatisantes.",""
"Kuroko's Basket","Sport / Basketball","Manga",75,"Fini","Production I.G","2012-04-07",8.1,9.0,"Ep 24: Don't Get the Wrong Idea","Kise vs Aomine. Le duel de la Génération des Miracles.",7.3,"Ep 5: Your Basketball","Mise en place de l'équipe, rythme plus lent.","Basket avec des super-pouvoirs assumés ('The Zone').","Animation fluide et intensité des matchs incomparable.",""
"Mob Psycho 100","Action / Supernatural","Manga",37,"Fini","Bones","2016-07-11",8.5,9.5,"Ep 2x07: Cornered","L'évolution de Reigen et le climax émotionnel de la S2.",7.5,"Ep 1: Self Proclaimed Psychic","Style visuel unique qui peut dérouter au premier épisode.","Animation 'Sakuga' époustouflante de Bones.","Reigen Arataka est l'un des meilleurs mentors de l'anime.",""
"Neon Genesis Evangelion","Mecha / Psychologique","Original",26,"Fini","Gainax","1995-10-04",8.5,9.6,"Ep 24: Le dernier messager","La trahison et la mort de Kaworu. Un sommet tragique.",7.0,"Ep 26: La bête qui criait 'Moi'","Fin abstraite et psychédélique qui a frustré une génération.","Révolution du genre Mecha, commence comme un Shonen classique.","Descente aux enfers psychologique des pilotes.","(Films 'End of Eva' nécessaires pour la vraie fin)"
"Violet Evergarden","Drama / Slice of Life","Light Novel",13,"Fini","Kyoto Animation","2018-01-11",8.4,9.7,"Ep 10: Un être cher veillera","L'épisode des lettres pour l'anniversaire. Impossible de ne pas pleurer.",7.6,"Ep 1: Poupées de souvenirs automatiques","Introduction lente, mais visuellement époustouflante.","Quête d'émotion d'une enfant-soldat. Animation 'God-tier'.","Chaque épisode est une histoire humaine poignante.","(Films conclusifs sortis après la série)"
"Tengen Toppa Gurren Lagann","Mecha / Action","Original",27,"Fini","Gainax","2007-04-01",8.6,9.5,"Ep 27: Toutes les lumières du ciel","Combat final à l'échelle galactique. Hype pure.",6.5,"Ep 4: Visages multiples","Animation désastreuse due à un directeur invité (épisode célèbre pour ça).","Montée en puissance exponentielle, l'esprit du Shonen incarné.","Ellipse temporelle et enjeux politiques plus matures.","Bataille spatiale finale défiant la logique."
"Cyberpunk: Edgerunners","Sci-Fi / Action","Game",10,"Fini","Trigger","2022-09-13",8.3,9.2,"Ep 10: My Moon My Man","Conclusion dévastatrice. 'I really want to stay at your house'.",7.8,"Ep 5: All Eyez On Me","Transition un peu rapide dans la folie de David.","Esthétique néon incroyable, Studio Trigger au sommet.","Violence et nudité décomplexées, fidèle au jeu.","(Mini-série unique)"
